url,image_url,brand,product,add_info,price_value,price_currency,discount_value,discount_code,country,retailer,scraped_at
https://www.notino.co.uk/curaprox/enzycal-1450-toothpaste/,https://cdn.notinoimg.com/list_2k//curaprox/7612412070002_01-o__141218.jpg,Curaprox,Enzycal 1450,toothpaste 1450 ppm 75 ml,5.9,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/biorepair/peribioma-pro-toothpaste-for-sensitive-teeth/,https://cdn.notinoimg.com/list_2k//biorepair/8017331064115_01-o__220530.jpg,Biorepair,Peribioma Pro,toothpaste for healthy gums and complete dental care 75 ml,4.7,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/sensodyne/extra-whitening-whitening-toothpaste-with-fluoride-for-sensitive-teeth-394207/,https://cdn.notinoimg.com/list_2k//sensodyne/2000009007572_01-o__210908.jpg,Sensodyne,Extra Whitening,whitening toothpaste with fluoride for sensitive teeth,8.0,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/marvis/aquatic-mint-toothpaste/,https://cdn.notinoimg.com/list_2k//marvis/8004395111725_01-o__171120.jpg,Marvis,The Mints Aquatic,toothpaste,3.9,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/biorepair/plus-sensitive-tooth-enamel-restoring-toothpaste-for-sensitive-teeth/,https://cdn.notinoimg.com/list_2k//biorepair/brpdsbw_ktps10_01__170410.jpg,Biorepair,Plus Sensitive Teeth,bio-active toothpaste for tooth sensitivity reduction and enamel restoration 75 ml,4.6,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/marvis/marvis-anise-mint-toothpaste/,https://cdn.notinoimg.com/list_2k//marvis/8004395111879_01-o__190911.jpg,Marvis,The Mints Anise,toothpaste,2.8,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/curaprox/enzycal-950-toothpaste/,https://cdn.notinoimg.com/list_2k//curaprox/7612412422436_01-o__150224.jpg,Curaprox,Enzycal 950,toothpaste 950 ppm 75 ml,5.4,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/signal/white-now-toothpaste-with-whitening-effect/,https://cdn.notinoimg.com/list_2k//signal/8717644461068_01-o__230106.jpg,Signal,White Now,toothpaste with whitening effect 75 ml,3.4,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/opalescence/sensitivity-relief-whitening-toothpaste-for-sensitive-teeth/,https://cdn.notinoimg.com/list_2k//opalescence/883205029430_01-o__160513.jpg,Opalescence,Whitening Sensitivity Relief,whitening toothpaste for sensitive teeth,3.5,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/biorepair/plus-pro-white-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//biorepair/8017331055380_01-o__210301.jpg,Biorepair,Plus Pro White,toothpaste for a radiant smile 75 ml,4.7,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/biorepair/oral-care-gum-protection-gum-protection-toothpaste/,https://cdn.notinoimg.com/list_2k//biorepair/8017331054192_01-o__210825.jpg,Biorepair,Gum Protection Toothpaste,soothing toothpaste supporting regeneration of irritated gums 75 ml,4.0,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/splat/professional-biocalcium-bio-active-toothpaste-for-enamel-regeneration-and-gentle-whitening/,https://cdn.notinoimg.com/list_2k//splat/7640168930059_01-o__220908.jpg,Splat,Professional Biocalcium,bioactive toothpaste for enamel regeneration and gentle whitening 100 g,4.6,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/colgate/natural-extracts-charcoal-white-whitening-toothpaste-with-activated-charcoal/,https://cdn.notinoimg.com/list_2k//colgate/8590232000241_01-o__220801.jpg,Colgate,Natural Extracts Charcoal + White,whitening toothpaste with activated charcoal,8.2,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/marvis/marvis-black-forest-toothpaste/,https://cdn.notinoimg.com/list_2k//marvis/8004395111633_01-o__190911.jpg,Marvis,Black Forest,toothpaste flavour Cherry-Chocolate-Mint 75 ml,5.7,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/biorepair/plus-parodontal-tooth-enamel-fortifying-toothpaste-to-treat-periodontitis/,https://cdn.notinoimg.com/list_2k//biorepair/brpprgw_ktps15_01__170410.jpg,Biorepair,Plus Parodontgel,soothing toothpaste supporting regeneration of irritated gums 75 ml,4.6,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/parodontax/complete-protection-extra-fresh-fluoride-toothpaste-for-healthy-teeth-and-gums/,https://cdn.notinoimg.com/list_2k//parodontax/5054563040596_01-o__180504.jpg,Parodontax,Complete Protection Extra Fresh,fluoride toothpaste for healthy teeth and gums,5.3,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/biorepair/advanced-active-shield-toothpaste/,https://cdn.notinoimg.com/list_2k//biorepair/8017331064078_01-o__210205.jpg,Biorepair,Advanced Active Shield,anti-plaque toothpaste for healthy gums 75 ml,4.7,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/blend-a-med/protect-7-extra-fresh-toothpaste-for-fresh-breath/,https://cdn.notinoimg.com/list_2k//blend-a-med/8001090717757_01-o__230221.jpg,Blend-a-med,Protect 7 Extra Fresh,toothpaste for fresh breath,1.3,£,-20 % ,mix20,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/blanx/nordic-white-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//blanx/8017331077825_01-o__220401.jpg,BlanX,Nordic White,whitening toothpaste with minerals 75 ml,3.4,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/marvis/marvis-flavour-collection-cosmetic-set-iii/,https://cdn.notinoimg.com/list_2k//marvis/8004395111008_01-o__190904.jpg,Marvis,Flavour Collection,dental care set,17.6,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/biorepair/junior-toothpaste-for-children/,https://cdn.notinoimg.com/list_2k//biorepair/8017331069202_01-o__210205.jpg,Biorepair,Kids 0-6,toothpaste for children to restore dental enamel,2.7,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/elmex/caries-protection-cosmetic-set-i/,https://cdn.notinoimg.com/list_2k//elmex/8714789994185_01-o__230109.jpg,Elmex,Caries Protection,dental care set,7.2,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/signal/micro-granules-toothpaste/,https://cdn.notinoimg.com/list_2k//signal/sigmrcu_ktps10__150511.jpg,Signal,Micro-Granules,toothpaste 75 ml,2.4,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
